Pos.,No.,Driver,Team,Laps,Time / Retired,Pts.,Year,Country,Race Date,Race Link
1,44,Lewis HamiltonHAM,Mercedes,58.0,1:31:54.067,25.0,2015,Flag of AustraliaAustralia,15 Mar,https://www.formula1.com/en/results/2015/races/917/australia/race-result
2,6,Nico RosbergROS,Mercedes,58.0,+1.360s,18.0,2015,Flag of AustraliaAustralia,15 Mar,https://www.formula1.com/en/results/2015/races/917/australia/race-result
3,5,Sebastian VettelVET,Ferrari,58.0,+34.523s,15.0,2015,Flag of AustraliaAustralia,15 Mar,https://www.formula1.com/en/results/2015/races/917/australia/race-result
4,19,Felipe MassaMAS,Williams Mercedes,58.0,+38.196s,12.0,2015,Flag of AustraliaAustralia,15 Mar,https://www.formula1.com/en/results/2015/races/917/australia/race-result
5,12,Felipe NasrNAS,Sauber Ferrari,58.0,+95.149s,10.0,2015,Flag of AustraliaAustralia,15 Mar,https://www.formula1.com/en/results/2015/races/917/australia/race-result
6,3,Daniel RicciardoRIC,Red Bull Racing Renault,57.0,+1 lap,8.0,2015,Flag of AustraliaAustralia,15 Mar,https://www.formula1.com/en/results/2015/races/917/australia/race-result
7,27,Nico HulkenbergHUL,Force India Mercedes,57.0,+1 lap,6.0,2015,Flag of AustraliaAustralia,15 Mar,https://www.formula1.com/en/results/2015/races/917/australia/race-result
8,9,Marcus EricssonERI,Sauber Ferrari,57.0,+1 lap,4.0,2015,Flag of AustraliaAustralia,15 Mar,https://www.formula1.com/en/results/2015/races/917/australia/race-result
9,55,Carlos SainzSAI,STR Renault,57.0,+1 lap,2.0,2015,Flag of AustraliaAustralia,15 Mar,https://www.formula1.com/en/results/2015/races/917/australia/race-result
10,11,Sergio PerezPER,Force India Mercedes,57.0,+1 lap,1.0,2015,Flag of AustraliaAustralia,15 Mar,https://www.formula1.com/en/results/2015/races/917/australia/race-result
11,22,Jenson ButtonBUT,McLaren Honda,56.0,+2 laps,0.0,2015,Flag of AustraliaAustralia,15 Mar,https://www.formula1.com/en/results/2015/races/917/australia/race-result
NC,7,Kimi RäikkönenRAI,Ferrari,40.0,DNF,0.0,2015,Flag of AustraliaAustralia,15 Mar,https://www.formula1.com/en/results/2015/races/917/australia/race-result
NC,33,Max VerstappenVER,STR Renault,32.0,DNF,0.0,2015,Flag of AustraliaAustralia,15 Mar,https://www.formula1.com/en/results/2015/races/917/australia/race-result
NC,8,Romain GrosjeanGRO,Lotus Mercedes,0.0,DNF,0.0,2015,Flag of AustraliaAustralia,15 Mar,https://www.formula1.com/en/results/2015/races/917/australia/race-result
NC,13,Pastor MaldonadoMAL,Lotus Mercedes,0.0,DNF,0.0,2015,Flag of AustraliaAustralia,15 Mar,https://www.formula1.com/en/results/2015/races/917/australia/race-result
NC,26,Daniil KvyatKVY,Red Bull Racing Renault,0.0,DNS,0.0,2015,Flag of AustraliaAustralia,15 Mar,https://www.formula1.com/en/results/2015/races/917/australia/race-result
NC,20,Kevin MagnussenMAG,McLaren Honda,0.0,DNS,0.0,2015,Flag of AustraliaAustralia,15 Mar,https://www.formula1.com/en/results/2015/races/917/australia/race-result
1,5,Sebastian VettelVET,Ferrari,56.0,1:41:05.793,25.0,2015,Flag of MalaysiaMalaysia,29 Mar,https://www.formula1.com/en/results/2015/races/918/malaysia/race-result
2,44,Lewis HamiltonHAM,Mercedes,56.0,+8.569s,18.0,2015,Flag of MalaysiaMalaysia,29 Mar,https://www.formula1.com/en/results/2015/races/918/malaysia/race-result
3,6,Nico RosbergROS,Mercedes,56.0,+12.310s,15.0,2015,Flag of MalaysiaMalaysia,29 Mar,https://www.formula1.com/en/results/2015/races/918/malaysia/race-result
4,7,Kimi RäikkönenRAI,Ferrari,56.0,+53.822s,12.0,2015,Flag of MalaysiaMalaysia,29 Mar,https://www.formula1.com/en/results/2015/races/918/malaysia/race-result
5,77,Valtteri BottasBOT,Williams Mercedes,56.0,+70.409s,10.0,2015,Flag of MalaysiaMalaysia,29 Mar,https://www.formula1.com/en/results/2015/races/918/malaysia/race-result
6,19,Felipe MassaMAS,Williams Mercedes,56.0,+73.586s,8.0,2015,Flag of MalaysiaMalaysia,29 Mar,https://www.formula1.com/en/results/2015/races/918/malaysia/race-result
7,33,Max VerstappenVER,STR Renault,56.0,+97.762s,6.0,2015,Flag of MalaysiaMalaysia,29 Mar,https://www.formula1.com/en/results/2015/races/918/malaysia/race-result
8,55,Carlos SainzSAI,STR Renault,55.0,+1 lap,4.0,2015,Flag of MalaysiaMalaysia,29 Mar,https://www.formula1.com/en/results/2015/races/918/malaysia/race-result
9,26,Daniil KvyatKVY,Red Bull Racing Renault,55.0,+1 lap,2.0,2015,Flag of MalaysiaMalaysia,29 Mar,https://www.formula1.com/en/results/2015/races/918/malaysia/race-result
10,3,Daniel RicciardoRIC,Red Bull Racing Renault,55.0,+1 lap,1.0,2015,Flag of MalaysiaMalaysia,29 Mar,https://www.formula1.com/en/results/2015/races/918/malaysia/race-result
11,8,Romain GrosjeanGRO,Lotus Mercedes,55.0,+1 lap,0.0,2015,Flag of MalaysiaMalaysia,29 Mar,https://www.formula1.com/en/results/2015/races/918/malaysia/race-result
12,12,Felipe NasrNAS,Sauber Ferrari,55.0,+1 lap,0.0,2015,Flag of MalaysiaMalaysia,29 Mar,https://www.formula1.com/en/results/2015/races/918/malaysia/race-result
13,11,Sergio PerezPER,Force India Mercedes,55.0,+1 lap,0.0,2015,Flag of MalaysiaMalaysia,29 Mar,https://www.formula1.com/en/results/2015/races/918/malaysia/race-result
14,27,Nico HulkenbergHUL,Force India Mercedes,55.0,+1 lap,0.0,2015,Flag of MalaysiaMalaysia,29 Mar,https://www.formula1.com/en/results/2015/races/918/malaysia/race-result
15,98,Roberto MerhiMER,Marussia Ferrari,53.0,+3 laps,0.0,2015,Flag of MalaysiaMalaysia,29 Mar,https://www.formula1.com/en/results/2015/races/918/malaysia/race-result
NC,13,Pastor MaldonadoMAL,Lotus Mercedes,47.0,DNF,0.0,2015,Flag of MalaysiaMalaysia,29 Mar,https://www.formula1.com/en/results/2015/races/918/malaysia/race-result
